"parameter","fixed_value","likelihood_value","optim_beta","optim_gamma"
"beta",1.05,21293.0682017549,0.880459823903115,0.65799031271752
"beta",1.07,21280.2277199268,0.890349815653699,0.67563954475276
"beta",1.09,21266.4873238897,0.898061768638086,0.69330512708149
"beta",1.11,21251.9374193737,0.873364474159724,0.710890541129143
"beta",1.13,21236.7491868207,0.901796842248229,0.728506755188568
"beta",1.15,21220.6424110677,0.936953529252177,0.746352412870309
"beta",1.17,21204.5122440375,0.916457670799785,0.763920291543787
"beta",1.19,21187.5739241532,0.919740510248038,0.781507137459932
"beta",1.21,21170.3474245271,0.917578986154618,0.799188261900373
"beta",1.23,21152.8640754584,0.92086584226223,0.81679662588658
"beta",1.25,21134.6661099428,0.924164472204286,0.834468064724746
"beta",1.27,21116.7536084005,0.90890403995777,0.852170546874735
"beta",1.29,21098.4153092376,0.888010383665085,0.869718014473559
"beta",1.31,21080.2323149445,0.896514721617969,0.887190945991058
"beta",1.33,21061.6924695683,0.887192499274821,0.904758796002805
"beta",1.35,21042.861142651,0.871774727777718,0.922514468211672
"beta",1.37,21023.9034275746,0.85654154151922,0.94018534433578
"beta",1.39,21004.8791353446,0.835898683846491,0.957618533394008
"beta",1.41,20985.7731821576,0.816910078280433,0.975187025568735
"beta",1.43,20966.6226927471,0.813260157816349,0.992889595524843
"beta",1.45,20947.4338006193,0.816014599427317,1.01037336494464
"beta",1.47,20928.2335583419,0.874541507982415,1.02814774538844
"beta",1.49,20909.0335578452,0.883200659411662,1.04572647385383
"beta",1.51,20889.4589603708,0.851569252620828,1.0632834324595
"beta",1.53,20870.2878690051,0.830474743338457,1.08085678997768
"beta",1.55,20850.378802213,0.793811489398002,1.09862806430942
"beta",1.57,20831.2748327378,0.818597856923807,1.11614354083535
"beta",1.59,20812.2265617111,0.793754774613687,1.13374417645508
"beta",1.61,20793.2357824242,0.767113447225063,1.15126517410391
"beta",1.63,20774.2979862631,0.777711894883738,1.16871987789731
"beta",1.65,20755.4772700761,0.783396800638986,1.18663493802208
"beta",1.67,20737.795711672,0.747563588735873,1.20396885055935
"beta",1.69,20719.1356540193,0.711206938881326,1.22155597030821
"beta",1.71,20700.5663557039,0.67866263161101,1.23907147181446
"beta",1.73,20682.0947081976,0.685514430643383,1.25670766976534
"beta",1.75,20663.7140020839,0.744293296847046,1.27420650963305
"beta",1.77,20645.4606196697,0.749941079740057,1.29189925859828
"beta",1.79,20627.2947645417,0.802886136864111,1.30950040245891
"beta",1.81,20609.2396177517,0.887641630852894,1.32688263978358
"beta",1.83,20591.2788406145,0.969342958971423,1.34465205890739
"beta",1.85,20573.4352796846,0.96267972355029,1.36191380446705
"beta",1.87,20555.5567355939,0.970236920616875,1.37981547107679
"beta",1.89,20537.2691696975,0.949092142730558,1.39628024214589
"beta",1.91,20519.6886291892,0.949294455947938,1.41500564879908
"gamma",0.53,21349.58271425,0.905173400878907,0.493844940185547
"gamma",0.51,21349.9524029818,0.882716437744797,0.503941955001503
"gamma",0.49,21347.1617952322,0.860131310138436,0.526268474276494
"gamma",0.47,21340.7189855852,0.837620061005906,0.548275740219489
"gamma",0.45,21330.1214489386,0.815189286972316,0.548898178222586
"gamma",0.43,21314.7450856575,0.792640227838048,0.539474542300189
"gamma",0.41,21293.9583881811,0.77042514267328,0.518801376944516
"gamma",0.39,21266.8295851383,0.748038952814818,0.509967955885572
"gamma",0.37,21232.4131804913,0.725631798452776,0.49966952227386
"gamma",0.35,21189.6897764902,0.703275101122402,0.484128010147707
"gamma",0.33,21137.2772449649,0.680862372292568,0.454471117055726
"gamma",0.31,21073.5448252353,0.658638530580925,0.436096585931498
"gamma",0.29,20996.6337704895,0.636416854380694,0.41411205894813
"gamma",0.27,20904.2005642773,0.61419310130343,0.405984114735698
"gamma",0.25,20793.4086767452,0.591964993418939,0.398589071669584
"gamma",0.23,20660.7798847631,0.569819598912633,0.368167494222298
"gamma",0.21,20501.9586913706,0.547783606610934,0.386308235359556
"gamma",0.19,20311.4797677249,0.525686410776474,0.372268751989513
"gamma",0.17,20082.2398250108,0.503676235153608,0.356859072252002
"gamma",0.15,19805.3399006795,0.481740695502673,0.35207620004372
"gamma",0.13,19468.6982311293,0.459729520902252,0.342240856864664
"gamma",0.11,19055.4309009017,0.438179699609959,0.353015767510811
"gamma",0.09,18543.4727060081,0.416270714629461,0.342061275020562
"gamma",0.07,17899.8668059382,0.394481544410575,0.358159244062873
"gamma",0.05,17076.041853443,0.372908334950622,0.373876868097982
"gamma",0.03,15995.8264578472,0.351182047557113,0.378568727278364
"gamma",0.53,21349.58271425,0.905173400878907,0.493844940185547
"gamma",0.55,21346.3220919861,0.927581444166837,0.465119076159447
"gamma",0.57,21340.609220487,0.950227475518566,0.511769900744009
"gamma",0.59,21332.8285488657,0.972718821649309,0.523908731958977
"gamma",0.61,21323.0230462728,0.995706903176568,0.551931393324851
"gamma",0.63,21311.6275945399,1.01792859685006,0.552732079265363
"gamma",0.65,21298.7184709979,1.0405934132643,0.592296100900746
"gamma",0.67,21284.5728287077,1.06314590885178,0.618489814027326
"gamma",0.69,21269.2534957772,1.08556718172885,0.644325276751836
"gamma",0.71,21252.9386585714,1.10830311883917,0.664167199026978
"gamma",0.73,21235.4951322188,1.13089300112466,0.678871999532981
"gamma",0.75,21217.6284694096,1.15350361360289,0.658106922431794
"gamma",0.77,21198.8930678302,1.17614084260289,0.638450351847255
"gamma",0.79,21179.7151587446,1.19878997969771,0.639278694296693
"gamma",0.81,21160.0245314004,1.22153549949035,0.62744177278333
"gamma",0.83,21139.6317439934,1.24394581854285,0.603219961095381
"gamma",0.85,21119.3185977848,1.26676727783666,0.578553775479549
"gamma",0.87,21098.5357889399,1.28940289521811,0.575804660854148
"gamma",0.89,21077.7566756593,1.31210796032386,0.579381679894229
"gamma",0.91,21056.6372784422,1.33488520274579,0.576774331972962
"gamma",0.93,21035.2052645316,1.35770836665077,0.588016853452081
"gamma",0.95,21013.648310526,1.38016894552435,0.556086669953274
"gamma",0.97,20991.9907913441,1.40297961065349,0.528705460255254
"gamma",0.99,20970.2503364876,1.4256112527639,0.511940191013422
"gamma",1.01,20948.4652773942,1.44841057046919,0.453529401704107
"gamma",1.03,20926.651882331,1.47102397596872,0.504991379218232
"gamma",1.05,20904.8380625955,1.49375732989421,0.470424470603245
"gamma",1.07,20882.7108477302,1.51651606850962,0.475843489237009
"gamma",1.09,20860.2936178752,1.53907891934886,0.48159556415354
"gamma",1.11,20838.5494035298,1.56191772349177,0.439549170288529
"gamma",1.13,20816.8829528753,1.58448993229181,0.405817171845779
"gamma",1.15,20795.2842401609,1.60720942813995,0.36360369290857
"gamma",1.17,20773.7705607656,1.62990231615803,0.358263500106035
"gamma",1.19,20752.3546797512,1.65264367334263,0.340112390821716
"gamma",1.21,20731.964276783,1.67557663865305,0.335800698300465
"gamma",1.23,20710.7769713669,1.69828462690254,0.320124412285232
"gamma",1.25,20689.7099459814,1.72116372972867,0.343817126411188
"gamma",1.27,20668.8333993797,1.74429741965466,0.36448608225887
"gamma",1.29,20647.9567801978,1.76675048136564,0.37417346746585
"gamma",1.31,20627.2780389484,1.78918895929187,0.48551998209255
"gamma",1.33,20606.7398260431,1.8122663736487,0.507490346701164
"gamma",1.35,20586.3328194115,1.8347244413419,0.55159646740049
"gamma",1.37,20565.9304432437,1.85773465910139,0.608212477827659
"gamma",1.39,20545.6034387089,1.88023066473894,0.596964475008881
"gamma",1.41,20525.1916951482,1.90291875082408,0.724434336511492
"gamma",1.43,20505.3757030927,1.92559024375382,0.832031011973127
"gamma",1.45,20485.7530337872,1.94853184626729,0.940909600951004
"gamma",1.47,20466.1551941943,1.97193706278007,1.02663358500798
"gamma",1.49,20446.0039196245,1.99394142029367,1.0392214736526
"gamma",1.51,20426.8269500123,2.01656859061643,1.10589358564236
"gamma",1.53,20408.6860072232,2.03945253319519,1.17332229018715
