"time","age_range","Incidence","Deaths","IncNoise","DeathNoise"
134,"0-150",1.96537341670022,0.463741069021001,2,0
135,"0-150",1.7110929754538,0.403904387998172,1,0
136,"0-150",1.48952477161068,0.351727623219278,2,0
137,"0-150",1.2965312092128,0.306250620281528,3,0
138,"0-150",1.12850815266685,0.266634167741669,3,0
139,"0-150",0.982236007422976,0.232128127624215,0,0
140,"0-150",0.854879842131506,0.202071391035147,0,1
141,"0-150",0.743997326325685,0.175892921724097,0,0
142,"0-150",0.64747699439871,0.15309772798705,0,0
143,"0-150",0.563467114854665,0.133251237610099,0,1
144,"0-150",0.490345693622274,0.115972647592721,0,0
145,"0-150",0.426704150193746,0.100930913411179,1,1
146,"0-150",0.37131640679422,0.0878375147286836,0,0
147,"0-150",0.3231122952152,0.0764403983825879,0,0
148,"0-150",0.281161307825739,0.0665202830354983,0,0
149,"0-150",0.244654557336466,0.057886472970281,1,0
150,"0-150",0.212886667319001,0.0503725878787942,0,0
